"delivery_id","carrier_name","region_name","delivery_date","delivery_start_time","delivery_end_time","delivery_duration_minutes","delivery_status","delivery_address_street","delivery_address_city","delivery_address_state","delivery_address_postal_code","delivery_address_country","package_weight_kg","package_volume_m3","recipient_signature_collected","delivery_delay_reason"
"HOU_EXP_037","SwiftExpress","Houston Midtown","2024-05-08","2024-05-08T08:10:00","2024-05-08T08:40:00","30","completed","3900 Main St","Houston","TX","77002","USA","1.5","0.011","true",""
"EDIN_JET_038","ParcelJet","Edinburgh Old Town","2024-05-09","2024-05-09T09:35:00","2024-05-09T10:03:00","28","completed","21 High St","Edinburgh","Scotland","EH1 1SR","UK","1.3","0.01","true",""
"LIM_GO_039","GoLogistics","Lima Miraflores","2024-05-10","2024-05-10T12:15:00","2024-05-10T13:00:00","45","completed","540 Av. Larco","Lima","LMA","15074","PE","2.9","0.018","true",""
"CAI_CARGO_040","BlueCargo","Cairo Zamalek","2024-05-11","2024-05-11T08:15:00","2024-05-11T08:45:00","30","completed","15 Sharia Ismail","Cairo","C","11211","EG","2.2","0.015","true",""
"HEL_EXP_041","SwiftExpress","Helsinki Kamppi","2024-05-12","2024-05-12T09:05:00","2024-05-12T09:35:00","30","completed","1 Salomonkatu","Helsinki","Uusimaa","00100","FI","1.7","0.012","true",""
"BKK_JET_042","ParcelJet","Bangkok Silom","2024-05-13","2024-05-13T08:30:00","2024-05-13T08:52:00","22","completed","192 Silom Rd","Bangkok","BKK","10500","TH","0.9","0.007","true",""
"ATH_GO_043","GoLogistics","Athens Plaka","2024-05-14","2024-05-14T09:50:00","2024-05-14T10:19:00","29","completed","33 Adrianou St","Athens","AT","10558","GR","1.8","0.014","true",""
"JKT_CARGO_044","BlueCargo","Jakarta Kuningan","2024-05-15","2024-05-15T12:10:00","2024-05-15T12:45:00","35","completed","1 Jl. Rasuna Said","Jakarta","JK","12950","ID","2.5","0.017","true",""
"JHB_FAIL_045","SwiftExpress","Johannesburg North","2024-05-16","2024-05-16T09:00:00","2024-05-16T09:00:00","0","failed","99 Malibongwe Dr","Johannesburg","GP","2112","ZA","0","0","false","Recipient unavailable"
"MAD_CAN_046","ParcelJet","Madrid Salamanca","2024-05-17","2024-05-17T11:10:00","2024-05-17T11:10:00","0","cancelled","28 Calle Serrano","Madrid","MD","28006","ES","0","0","false","Extreme weather conditions"
"AK_FAIL_047","GoLogistics","Anchorage East","2024-05-18","2024-05-18T10:20:00","2024-05-18T10:20:00","0","failed","210 Lake Otis Pkwy","Anchorage","AK","99508","USA","0","0","false","Vehicle breakdown"
"DEL_CAN_048","BlueCargo","Delhi South","2024-05-19","2024-05-19T14:00:00","2024-05-19T14:00:00","0","cancelled","17 GK Road","Delhi","DL","110048","IN","0","0","false","Recipient unavailable"
"NYC_FAIL_049","SwiftExpress","NYC Harlem","2024-05-20","2024-05-20T08:30:00","2024-05-20T08:30:00","0","failed","200 W 125th St","New York","NY","10027","USA","0","0","false","Extreme weather conditions"
"VAN_CAN_050","ParcelJet","Vancouver Kitsilano","2024-05-21","2024-05-21T09:15:00","2024-05-21T09:15:00","0","cancelled","2205 W 4th Ave","Vancouver","BC","V6K 1N8","CA","0","0","false","Traffic congestion"
"Swift_Ex_0012","SwiftExpress","Berlin","2024-05-09","2024-05-09T09:25:00","2024-05-09T10:01:00","36","completed","Friedrichstrasse 20","Berlin","Berlin","10117","DE","2.8","0.017","true",""
"GoLog_2024_A99","GoLogistics","Sydney","2024-05-10","2024-05-10T14:15:00","2024-05-10T15:12:00","57","completed","George St 120","Sydney","NSW","2000","AU","3.6","0.023","true",""
"Jet_PJ_0457","ParcelJet","Singapore","2024-05-11","2024-05-11T11:08:00","2024-05-11T11:25:00","17","completed","Orchard Road 321","Singapore","SG","238867","SG","0.67","0.004","false",""
"BCargo_2024_16","BlueCargo","Cape Town","2024-05-09","2024-05-09T13:20:00","2024-05-09T14:07:00","47","completed","Long St 44","Cape Town","WC","8001","ZA","2.1","0.011","true",""
"Swift_Ex_0021","SwiftExpress","San Francisco Bay","2024-05-13","2024-05-13T10:03:00","2024-05-13T10:20:00","17","completed","Market St 224","San Francisco","CA","94105","USA","1.3","0.007","false",""
"GoLog_2024_A55","GoLogistics","Mumbai","2024-05-14","2024-05-14T15:07:00","2024-05-14T16:05:00","58","completed","Linking Rd 99","Mumbai","MH","400052","IN","4.5","0.03","true",""
"Jet_PJ_0681","ParcelJet","Madrid","2024-05-12","2024-05-12T09:15:00","2024-05-12T09:31:00","16","completed","Gran Via 88","Madrid","Madrid","28013","ES","0.95","0.005","false",""
"BCargo_2024_42","BlueCargo","Dublin","2024-05-15","2024-05-15T12:30:00","2024-05-15T13:19:00","49","completed","O'Connell St 18","Dublin","Leinster","D01 XY45","IE","2.3","0.012","true",""
"Swift_Ex_0038","SwiftExpress","Rural Alaska","2024-05-16","2024-05-16T08:12:00","2024-05-16T10:32:00","140","delayed","Main St 6","Bethel","AK","99559","USA","2.7","0.021","false","Extreme weather conditions"
"GoLog_2024_A88","GoLogistics","Vancouver","2024-05-17","2024-05-17T13:41:00","2024-05-17T14:53:00","72","completed","Robson St 99","Vancouver","BC","V6E 1B5","CA","3.1","0.018","true",""
"Jet_PJ_0802","ParcelJet","Dubai","2024-05-18","2024-05-18T10:09:00","2024-05-18T10:41:00","32","completed","Sheikh Zayed Rd 900","Dubai","Dubai","00000","AE","1.9","0.009","false",""
"BCargo_2024_58","BlueCargo","Tokyo","2024-05-19","2024-05-19T09:00:00","2024-05-19T09:44:00","44","completed","Chuo Dori 2-3-6","Tokyo","Tokyo","104-0061","JP","3.4","0.016","true",""
"Swift_Ex_0043","SwiftExpress","New York","2024-05-20","2024-05-20T10:15:00","2024-05-20T10:31:00","16","completed","5th Ave 350","New York","NY","10001","USA","0.75","0.003","false",""
"GoLog_2024_A77","GoLogistics","Paris","2024-05-21","2024-05-21T13:55:00","2024-05-21T14:49:00","54","completed","Rue de Rivoli 89","Paris","Île-de-France","75001","FR","2.6","0.014","true",""
"Jet_PJ_0935","ParcelJet","Mexico City","2024-05-22","2024-05-22T12:08:00","2024-05-22T12:28:00","20","completed","Avenida Juárez 7","Mexico City","CDMX","06030","MX","0.97","0.006","false",""
"BCargo_2024_67","BlueCargo","Moscow","2024-05-23","2024-05-23T09:37:00","2024-05-23T10:21:00","44","completed","Tverskaya St 16","Moscow","Moscow","101000","RU","2.2","0.015","true",""
"Swift_Ex_0054","SwiftExpress","Bangkok","2024-05-24","2024-05-24T14:18:00","2024-05-24T15:02:00","44","completed","Sukhumvit Rd 55","Bangkok","Bangkok","10110","TH","2.4","0.013","true",""
"GoLog_2024_A33","GoLogistics","Rio de Janeiro","2024-05-25","2024-05-25T13:10:00","2024-05-25T13:46:00","36","completed","Rua Copacabana 18","Rio de Janeiro","RJ","22010-000","BR","2.8","0.019","true",""
"Jet_PJ_0107","ParcelJet","London","2024-05-26","2024-05-26T10:22:00","2024-05-26T10:53:00","31","completed","Baker St 221B","London","England","NW1 6XE","UK","1.8","0.008","false",""
"BCargo_2024_71","BlueCargo","Johannesburg","2024-05-27","2024-05-27T09:13:00","2024-05-27T09:37:00","24","completed","Main St 100","Johannesburg","GP","2001","ZA","1.2","0.007","true",""
"Swift_Ex_0067","SwiftExpress","Toronto","2024-05-28","2024-05-28T14:00:00","2024-05-28T14:49:00","49","completed","Yonge St 350","Toronto","ON","M5B 2H1","CA","4.3","0.029","true",""
"GoLog_2024_A15","GoLogistics","Madrid Rural","2024-05-29","2024-05-29T08:30:00","2024-05-29T11:00:00","150","delayed","Camino Real 45","Guadalajara","Guadalajara","19001","ES","2.2","0.012","false","Traffic congestion"
"Jet_PJ_0234","ParcelJet","Frankfurt","2024-05-30","2024-05-30T09:21:00","2024-05-30T09:43:00","22","completed","Zeil 112","Frankfurt","Hessen","60313","DE","1.1","0.005","false",""
"BCargo_2024_81","BlueCargo","Shanghai","2024-05-31","2024-05-31T09:45:00","2024-05-31T10:36:00","51","completed","Nanjing Rd 88","Shanghai","Shanghai","200001","CN","3.7","0.022","true",""
"Swift_Ex_0072","SwiftExpress","Glasgow","2024-06-01","2024-06-01T10:30:00","2024-06-01T11:25:00","55","completed","Argyle St 92","Glasgow","Scotland","G2 8BG","UK","3.2","0.018","true",""
"GoLog_2024_A99X","GoLogistics","Chicago","2024-06-02","2024-06-02T09:48:00","2024-06-02T10:12:00","24","completed","State St 91","Chicago","IL","60601","USA","1.8","0.008","false",""
"Jet_PJ_0991","ParcelJet","Rome","2024-06-03","2024-06-03T14:21:00","2024-06-03T15:04:00","43","completed","Via del Corso 45","Rome","Lazio","00186","IT","2.9","0.014","true",""
"BCargo_2024_91","BlueCargo","Johor Bahru","2024-06-04","2024-06-04T12:15:00","2024-06-04T12:45:00","30","completed","Jalan Wong Ah Fook 33","Johor Bahru","Johor","80000","MY","1.6","0.009","true",""
"Swift_Ex_0083","SwiftExpress","Lisbon","2024-06-05","2024-06-05T09:28:00","2024-06-05T10:03:00","35","completed","Rua Augusta 100","Lisbon","Lisboa","1100-053","PT","2.5","0.013","true",""
"GoLog_2024_A22","GoLogistics","Johannesburg Suburbs","2024-06-06","2024-06-06T09:00:00","2024-06-06T09:32:00","32","completed","Parkview Ave 18","Parkview","GP","2193","ZA","1.7","0.008","false",""
"Jet_PJ_0033","ParcelJet","Hong Kong","2024-06-07","2024-06-07T13:31:00","2024-06-07T14:17:00","46","completed","Nathan Rd 200","Hong Kong","Hong Kong","999077","HK","2.3","0.012","true",""
"BCargo_2024_03","BlueCargo","Vienna","2024-06-08","2024-06-08T09:47:00","2024-06-08T10:29:00","42","completed","Kärntner Strasse 15","Vienna","Vienna","1010","AT","1.9","0.009","true",""
"Swift_Ex_0090","SwiftExpress","Auckland","2024-06-09","2024-06-09T10:33:00","2024-06-09T11:18:00","45","completed","Queen St 150","Auckland","Auckland","1010","NZ","2.6","0.012","true",""
"GoLog_2024_A09","GoLogistics","Seoul","2024-06-10","2024-06-10T09:25:00","2024-06-10T10:20:00","55","completed","Gangnam-daero 12","Seoul","Seoul","06236","KR","2.9","0.015","true",""
"Jet_PJ_0211","ParcelJet","Los Angeles","2024-06-11","2024-06-11T14:10:00","2024-06-11T14:34:00","24","completed","Sunset Blvd 400","Los Angeles","CA","90028","USA","1.4","0.007","false",""
"BCargo_2024_24","BlueCargo","Zurich","2024-06-12","2024-06-12T09:17:00","2024-06-12T09:42:00","25","completed","Bahnhofstrasse 60","Zurich","Zurich","8001","CH","1.2","0.006","true",""
"Swift_Ex_0106","SwiftExpress","Oslo","2024-06-13","2024-06-13T13:59:00","2024-06-13T14:22:00","23","completed","Karl Johans gate 34","Oslo","Oslo","0159","NO","1.3","0.007","false",""
"GoLog_2024_A72","GoLogistics","Brussels","2024-06-14","2024-06-14T09:00:00","2024-06-14T09:36:00","36","completed","Rue Neuve 50","Brussels","Brussels","1000","BE","2.1","0.011","true",""
"Jet_PJ_0889","ParcelJet","Barcelona","2024-06-15","2024-06-15T14:05:00","2024-06-15T14:45:00","40","completed","La Rambla 19","Barcelona","Barcelona","08002","ES","2.7","0.013","false",""
"BCargo_2024_99","BlueCargo","Dubai Industrial","2024-06-16","2024-06-16T09:11:00","2024-06-16T09:41:00","30","completed","Jebel Ali Rd 300","Dubai","Dubai","00000","AE","1.6","0.009","true",""
"Swift_Ex_0113","SwiftExpress","Delhi","2024-06-17","2024-06-17T13:31:00","2024-06-17T14:27:00","56","completed","Connaught Place 1","Delhi","DL","110001","IN","3.2","0.018","true",""
"GoLog_2024_A100","GoLogistics","Cape Town Rural","2024-06-18","2024-06-18T09:45:00","2024-06-18T11:55:00","130","delayed","Winery Rd 30","Stellenbosch","WC","7600","ZA","2.4","0.011","false","Vehicle breakdown"
"Jet_PJ_0095","ParcelJet","Kuala Lumpur","2024-06-19","2024-06-19T09:30:00","2024-06-19T09:51:00","21","completed","Jalan Sultan Ismail 7","Kuala Lumpur","Kuala Lumpur","50250","MY","1.2","0.006","false",""
"BCargo_2024_11","BlueCargo","Buenos Aires","2024-06-20","2024-06-20T13:45:00","2024-06-20T14:22:00","37","completed","Avenida Corrientes 400","Buenos Aires","Buenos Aires","C1043AAB","AR","2.5","0.014","true",""
"NYC_3A9T2W_01","SwiftExpress","Manhattan, NYC","2024-03-17","2024-03-17T09:12:00","2024-03-17T09:52:00","40","completed","243 West 34th St","New York","NY","10001","USA","2.7","0.023","true",""
"LDN_PJ_007","ParcelJet","Central London","2024-03-18","2024-03-18T10:30:00","2024-03-18T11:08:00","38","completed","56 Oxford Street","London","England","W1D 1BS","UK","3.5","0.034","true",""
"MUM_GOL_12","GoLogistics","South Mumbai","2024-03-17","2024-03-17T13:05:00","2024-03-17T13:47:00","42","completed","17 Marine Drive","Mumbai","MH","400002","IN","4.2","0.048","true",""
"BER_BC_20","BlueCargo","Berlin City Center","2024-03-19","2024-03-19T08:45:00","2024-03-19T09:25:00","40","completed","2 Friedrichstrasse","Berlin","BE","10117","DE","2.9","0.02","true",""
"TKY_SEXP_19","SwiftExpress","Shinjuku, Tokyo","2024-03-19","2024-03-19T16:00:00","2024-03-19T16:39:00","39","completed","8 Chome-1 Nishishinjuku","Tokyo","Tokyo","160-0023","JP","3.7","0.029","true",""
"SYD_GOL_02","GoLogistics","Sydney CBD","2024-03-18","2024-03-18T11:50:00","2024-03-18T12:32:00","42","completed","22 George Street","Sydney","NSW","2000","AU","4.5","0.041","true",""
"PAR_PJ_05","ParcelJet","Paris 7th Arr.","2024-03-17","2024-03-17T17:06:00","2024-03-17T17:44:00","38","completed","15 Rue Cler","Paris","IDF","75007","FR","3.1","0.027","true",""
"JHB_BC_08","BlueCargo","Sandton, Johannesburg","2024-03-18","2024-03-18T14:18:00","2024-03-18T14:53:00","35","completed","89 Rivonia Road","Johannesburg","GP","2196","ZA","2.6","0.018","true",""
"TOR_SEXP_22","SwiftExpress","Downtown Toronto","2024-03-20","2024-03-20T13:37:00","2024-03-20T14:17:00","40","completed","12 Yonge Street","Toronto","ON","M5E 1Z9","CA","3.3","0.025","true",""
"CHI_PJ_31","ParcelJet","Chicago Loop","2024-03-19","2024-03-19T12:44:00","2024-03-19T13:19:00","35","completed","233 S Wacker Dr","Chicago","IL","60606","USA","2.1","0.017","true",""
"SGP_GOL_14","GoLogistics","Orchard Road, Singapore","2024-03-20","2024-03-20T16:23:00","2024-03-20T17:08:00","45","completed","390 Orchard Road","Singapore","SG","238871","SG","2.8","0.021","true",""
"MAD_BC_61","BlueCargo","Centro, Madrid","2024-03-18","2024-03-18T11:02:00","2024-03-18T11:40:00","38","completed","18 Calle Mayor","Madrid","MD","28013","ES","3.6","0.03","true",""
"BLR_SEXP_07","SwiftExpress","Koramangala, Bangalore","2024-03-17","2024-03-17T10:15:00","2024-03-17T11:01:00","46","completed","61 7th Main Rd","Bangalore","KA","560034","IN","4.8","0.043","true",""
"DXB_PJ_09","ParcelJet","Downtown Dubai","2024-03-19","2024-03-19T18:12:00","2024-03-19T19:00:00","48","completed","1 Sheikh Mohammed Blvd","Dubai","DXB","00000","AE","5","0.044","true",""
"SPB_GOL_06","GoLogistics","Tsentralny, St Petersburg","2024-03-18","2024-03-18T15:09:00","2024-03-18T15:51:00","42","completed","12 Nevsky Prospect","St Petersburg","RU","191025","RU","3.9","0.033","true",""
"RIO_BC_23","BlueCargo","Copacabana, Rio","2024-03-17","2024-03-17T17:42:00","2024-03-17T18:16:00","34","completed","220 Av Atlantica","Rio de Janeiro","RJ","22021-001","BR","2.2","0.015","true",""
"DUB_SEXP_41","SwiftExpress","Dublin 2","2024-03-20","2024-03-20T12:20:00","2024-03-20T12:57:00","37","completed","33 Baggot Street","Dublin","Leinster","D02 XY43","IE","3.2","0.024","true",""
"AKL_PJ_27","ParcelJet","Auckland CBD","2024-03-19","2024-03-19T15:15:00","2024-03-19T15:48:00","33","completed","48 Queen Street","Auckland","Auckland","1010","NZ","2","0.014","true",""
"MEX_GOL_17","GoLogistics","Polanco, Mexico City","2024-03-18","2024-03-18T09:08:00","2024-03-18T09:47:00","39","completed","110 Av Presidente Masaryk","Mexico City","CDMX","11560","MX","2.4","0.019","true",""
"NYC_BC_59","BlueCargo","Brooklyn, NYC","2024-03-17","2024-03-17T09:30:00","2024-03-17T09:48:00","18","delayed","81 Flatbush Ave","Brooklyn","NY","11201","USA","1.8","0.008","true","Traffic congestion"
"LDN_GOL_44","GoLogistics","Westminster, London","2024-03-18","2024-03-18T15:14:00","2024-03-18T15:41:00","27","delayed","10 Downing Street","London","England","SW1A 2AA","UK","2.3","0.011","true","Extreme weather"
"SYD_BC_35","BlueCargo","Bondi Beach, Sydney","2024-03-19","2024-03-19T11:10:00","2024-03-19T11:35:00","25","delayed","21 Campbell Parade","Sydney","NSW","2026","AU","1.2","0.007","true","Traffic congestion"
"MAD_SEXP_53","SwiftExpress","Salamanca, Madrid","2024-03-20","2024-03-20T14:00:00","2024-03-20T14:29:00","29","delayed","31 Calle Serrano","Madrid","MD","28001","ES","1.9","0.009","true","Recipient unavailable"
"PAR_PJ_60","ParcelJet","Montmartre, Paris","2024-03-19","2024-03-19T16:55:00","2024-03-19T17:27:00","32","delayed","8 Rue Lepic","Paris","IDF","75018","FR","1.5","0.006","true","Vehicle breakdown"
"JHB_GOL_39","GoLogistics","Rosebank, Johannesburg","2024-03-18","2024-03-18T11:33:00","2024-03-18T11:49:00","16","delayed","13 Bath Avenue","Johannesburg","GP","2196","ZA","0.9","0.005","true","Extreme weather"
"TOR_BC_68","BlueCargo","North York, Toronto","2024-03-17","2024-03-17T10:16:00","2024-03-17T10:32:00","16","delayed","88 Sheppard Ave E","Toronto","ON","M2N 6C6","CA","0.8","0.004","true","Traffic congestion"
"NYC_PJ_90","ParcelJet","Harlem, NYC","2024-03-18","2024-03-18T13:15:00","2024-03-18T13:45:00","30","in_transit","125 Malcolm X Blvd","New York","NY","10027","USA","2.7","0.021","false",""
"LDN_SEXP_66","SwiftExpress","Canary Wharf, London","2024-03-19","2024-03-19T17:02:00","2024-03-19T17:32:00","30","in_transit","1 Canada Square","London","England","E14 5AB","UK","3.3","0.027","false",""
"SYD_GOL_81","GoLogistics","Chatswood, Sydney","2024-03-20","2024-03-20T09:10:00","2024-03-20T09:35:00","25","in_transit","1 Victoria Ave","Sydney","NSW","2067","AU","1.6","0.011","false",""
"PAR_BC_77","BlueCargo","Le Marais, Paris","2024-03-17","2024-03-17T18:22:00","2024-03-17T18:56:00","34","in_transit","23 Rue des Archives","Paris","IDF","75004","FR","2.5","0.018","false",""
"JHB_SEXP_25","SwiftExpress","Maboneng, Johannesburg","2024-03-18","2024-03-18T09:28:00","2024-03-18T09:45:00","17","failed","276 Fox St","Johannesburg","GP","2094","ZA","0","0","false","Recipient unavailable"
"TOR_PJ_84","ParcelJet","Etobicoke, Toronto","2024-03-19","2024-03-19T16:02:00","2024-03-19T16:18:00","16","failed","420 Kipling Ave","Toronto","ON","M8V 3T1","CA","0","0","false","Extreme weather"
"SYD_BC_94","BlueCargo","Surry Hills, Sydney","2024-03-20","2024-03-20T09:05:00","2024-03-20T09:15:00","10","failed","53 Crown Street","Sydney","NSW","2010","AU","0","0","false","Vehicle breakdown"
"LDN_GOL_20","GoLogistics","Brixton, London","2024-03-17","2024-03-17T17:41:00","2024-03-17T18:00:00","19","failed","99 Coldharbour Lane","London","England","SW9 8PS","UK","0","0","false","Recipient unavailable"
"NYC_BC_32","BlueCargo","Queens, NYC","2024-03-18","2024-03-18T10:22:00","2024-03-18T10:37:00","15","cancelled","102-15 89th Ave","Queens","NY","11418","USA","0","0","false","Recipient unavailable"
"BER_SEXP_70","SwiftExpress","Prenzlauer Berg, Berlin","2024-03-19","2024-03-19T12:20:00","2024-03-19T12:35:00","15","cancelled","15 Kastanienallee","Berlin","BE","10435","DE","0","0","false","Extreme weather"
"CHI_PJ_73","ParcelJet","Lincoln Park, Chicago","2024-03-20","2024-03-20T14:12:00","2024-03-20T14:29:00","17","cancelled","1960 N Lincoln Park W","Chicago","IL","60614","USA","0","0","false","Recipient unavailable"
